date_played,home_team,home_points,away_team,away_points,point_margin,home_srs,away_srs
2022-12-05,Golden State Warriors,104,Indiana Pacers,112,-8,-0.6,-1.46
2022-12-04,New Orleans Pelicans,121,Denver Nuggets,106,15,4.93,1.05
2022-12-04,San Antonio Spurs,95,Phoenix Suns,133,-38,-9.12,3.75
2022-12-04,Brooklyn Nets,92,Boston Celtics,103,-11,3.35,6.11
2022-12-04,Detroit Pistons,112,Memphis Grizzlies,122,-10,-6.57,4.2
2022-12-04,New York Knicks,92,Cleveland Cavaliers,81,11,2.59,5.46
2022-12-04,Washington Wizards,119,Los Angeles Lakers,130,-11,-2.31,-2.49
2022-12-04,Sacramento Kings,110,Chicago Bulls,101,9,1.49,-0.91
2022-12-04,Portland Trailblazers,116,Indiana Pacers,100,16,0.08,-1.46
2022-12-03,New York Knicks,100,Dallas Mavericks,121,-21,2.59,2.45
2022-12-03,Los Angeles Clippers,96,Sacramento Kings,123,-27,-0.89,1.49
2022-12-03,Charlotte Hornets,96,Milwaukee Bucks,105,-9,-6.74,2.75
2022-12-03,Toronto Raptors,121,Orlando Magic,108,13,1.11,-2.56
2022-12-03,Minnesota Timberwolves,128,Oklahoma City Thunder,135,-7,-1.43,-0.92
2022-12-03,Golden State Warriors,120,Houston Rockets,101,19,-0.6,-5.06
2022-12-03,Utah Jazz,111,Portland Trailblazers,116,-5,0.95,0.08
2022-12-02,Charlotte Hornets,117,Washington Wizards,116,1,-6.74,-2.31
2022-12-02,Atlanta Hawks,117,Denver Nuggets,109,8,-0.43,1.05
2022-12-02,Boston Celtics,116,Miami Heat,120,-4,6.11,-1.78
2022-12-02,Brooklyn Nets,114,Toronto Raptors,105,9,3.35,1.11
2022-12-02,Cleveland Cavaliers,107,Orlando Magic,96,11,5.46,-2.56
2022-12-02,Milwaukee Bucks,129,Los Angeles Lakers,133,-4,2.75,-2.49
2022-12-02,Memphis Grizzlies,117,Philadelphia 76ers,109,8,4.2,3.57
2022-12-02,San Antonio Spurs,99,New Orleans Pelicans,117,-18,-9.12,4.93
2022-12-02,Phoenix Suns,121,Houston Rockets,122,-1,3.75,-5.06
2022-12-02,Utah Jazz,139,Indiana Pacers,119,20,0.95,-1.46
2022-12-02,Golden State Warriors,119,Chicago Bulls,111,8,-0.6,-0.91
2022-12-01,Detroit Pistons,131,Dallas Mavericks,125,6,-6.57,2.45
2022-11-30,Cleveland Cavaliers,113,Philadelphia 76ers,85,28,5.46,3.57
2022-11-30,Orlando Magic,108,Atlanta Hawks,125,-17,-2.56,-0.43
2022-11-30,Boston Celtics,134,Miami Heat,121,13,6.11,-1.78
2022-11-30,Brooklyn Nets,113,Washington Wizards,107,6,3.35,-2.31
2022-11-30,New York Knicks,103,Milwaukee Bucks,109,-6,2.59,2.75
2022-11-30,Minnesota Timberwolves,109,Memphis Grizzlies,101,8,-1.43,4.2
2022-11-30,New Orleans Pelicans,126,Toronto Raptors,108,18,4.93,1.11
2022-11-30,Oklahoma City Thunder,119,San Antonio Spurs,111,8,-0.92,-9.12
2022-11-30,Denver Nuggets,120,Houston Rockets,100,20,1.05,-5.06
2022-11-30,Phoenix Suns,132,Chicago Bulls,113,19,3.75,-0.91
2022-11-30,Utah Jazz,125,Los Angeles Clippers,112,13,0.95,-0.89
2022-11-30,Sacramento Kings,137,Indiana Pacers,114,23,1.49,-1.46
2022-11-30,Los Angeles Lakers,128,Portland Trailblazers,109,19,-2.49,0.08
2022-11-29,Detroit Pistons,110,New York Knicks,140,-30,-6.57,2.59
2022-11-29,Dallas Mavericks,116,Golden State Warriors,113,3,2.45,-0.6
2022-11-29,Portland Trailblazers,112,Los Angeles Clippers,118,-6,0.08,-0.89
2022-11-28,Philadelphia 76ers,104,Atlanta Hawks,101,3,3.57,-0.43
2022-11-28,Washington Wizards,142,Minnesota Timberwolves,127,15,-2.31,-1.43
2022-11-28,Boston Celtics,140,Charlotte Hornets,105,35,6.11,-6.74
2022-11-28,Brooklyn Nets,109,Orlando Magic,102,7,3.35,-2.56
2022-11-28,Toronto Raptors,100,Cleveland Cavaliers,88,12,1.11,5.46
2022-11-28,New Orleans Pelicans,105,Oklahoma City Thunder,101,4,4.93,-0.92
2022-11-28,Denver Nuggets,129,Houston Rockets,113,16,1.05,-5.06
2022-11-28,Utah Jazz,107,Chicago Bulls,114,-7,0.95,-0.91
2022-11-28,Sacramento Kings,117,Phoenix Suns,122,-5,1.49,3.75
2022-11-28,Los Angeles Lakers,115,Indiana Pacers,116,-1,-2.49,-1.46
2022-11-27,Brooklyn Nets,111,Portland Trailblazers,97,14,3.35,0.08
2022-11-27,Minnesota Timberwolves,114,Golden State Warriors,137,-23,-1.43,-0.6
2022-11-27,Los Angeles Clippers,114,Indiana Pacers,100,14,-0.89,-1.46
2022-11-27,Atlanta Hawks,98,Miami Heat,106,-8,-0.43,-1.78
2022-11-27,Boston Celtics,130,Washington Wizards,121,9,6.11,-2.31
2022-11-27,Detroit Pistons,94,Cleveland Cavaliers,102,-8,-6.57,5.46
2022-11-27,New York Knicks,123,Memphis Grizzlies,127,-4,2.59,4.2
2022-11-27,Orlando Magic,103,Philadelphia 76ers,133,-30,-2.56,3.57
2022-11-27,Milwaukee Bucks,124,Dallas Mavericks,115,9,2.75,2.45
2022-11-26,Toronto Raptors,105,Dallas Mavericks,100,5,1.11,2.45
2022-11-26,Houston Rockets,118,Oklahoma City Thunder,105,13,-5.06,-0.92
2022-11-26,San Antonio Spurs,138,Los Angeles Lakers,143,-5,-9.12,-2.49
2022-11-26,Phoenix Suns,113,Utah Jazz,112,1,3.75,0.95
2022-11-25,Charlotte Hornets,110,Minnesota Timberwolves,108,2,-6.74,-1.43
2022-11-25,Orlando Magic,99,Philadelphia 76ers,107,-8,-2.56,3.57
2022-11-25,New York Knicks,129,Portland Trailblazers,132,-3,2.59,0.08
2022-11-25,Boston Celtics,122,Sacramento Kings,104,18,6.11,1.49
2022-11-25,Indiana Pacers,128,Brooklyn Nets,117,11,-1.46,3.35
2022-11-25,Miami Heat,110,Washington Wizards,107,3,-1.78,-2.31
2022-11-25,Houston Rockets,128,Atlanta Hawks,122,6,-5.06,-0.43
2022-11-25,Memphis Grizzlies,132,New Orleans Pelicans,111,21,4.2,4.93
2022-11-25,Milwaukee Bucks,117,Cleveland Cavaliers,102,15,2.75,5.46
2022-11-25,Oklahoma City Thunder,123,Chicago Bulls,119,4,-0.92,-0.91
2022-11-25,San Antonio Spurs,94,Los Angeles Lakers,105,-11,-9.12,-2.49
2022-11-25,Phoenix Suns,108,Detroit Pistons,102,6,3.75,-6.57
2022-11-25,Golden State Warriors,129,Utah Jazz,118,11,-0.6,0.95
2022-11-25,Los Angeles Clippers,104,Denver Nuggets,114,-10,-0.89,1.05
2022-11-23,Charlotte Hornets,107,Philadelphia 76ers,101,6,-6.74,3.57
2022-11-23,Cleveland Cavaliers,114,Portland Trailblazers,96,18,5.46,0.08
2022-11-23,Indiana Pacers,101,Minnesota Timberwolves,115,-14,-1.46,-1.43
2022-11-23,Atlanta Hawks,115,Sacramento Kings,106,9,-0.43,1.49
2022-11-23,Boston Celtics,125,Dallas Mavericks,112,13,6.11,2.45
2022-11-23,Miami Heat,113,Washington Wizards,105,8,-1.78,-2.31
2022-11-23,Toronto Raptors,98,Brooklyn Nets,112,-14,1.11,3.35
2022-11-23,Milwaukee Bucks,113,Chicago Bulls,118,-5,2.75,-0.91
2022-11-23,Oklahoma City Thunder,126,Denver Nuggets,131,-5,-0.92,1.05
2022-11-23,San Antonio Spurs,110,New Orleans Pelicans,129,-19,-9.12,4.93
2022-11-23,Utah Jazz,116,Detroit Pistons,125,-9,0.95,-6.57
2022-11-23,Golden State Warriors,124,Los Angeles Clippers,107,17,-0.6,-0.89
2022-11-22,Philadelphia 76ers,115,Brooklyn Nets,106,9,3.57,3.35
2022-11-22,Memphis Grizzlies,109,Sacramento Kings,113,-4,4.2,1.49
2022-11-22,Denver Nuggets,108,Detroit Pistons,110,-2,1.05,-6.57
2022-11-22,Phoenix Suns,115,Los Angeles Lakers,105,10,3.75,-2.49
2022-11-21,Cleveland Cavaliers,114,Atlanta Hawks,102,12,5.46,-0.43
2022-11-21,Indiana Pacers,123,Orlando Magic,102,21,-1.46,-2.56
2022-11-21,Chicago Bulls,121,Boston Celtics,107,14,-0.91,6.11
2022-11-21,Milwaukee Bucks,119,Portland Trailblazers,111,8,2.75,0.08
2022-11-21,Minnesota Timberwolves,105,Miami Heat,101,4,-1.43,-1.78
2022-11-21,New Orleans Pelicans,128,Golden State Warriors,83,45,4.93,-0.6
2022-11-21,Oklahoma City Thunder,119,New York Knicks,129,-10,-0.92,2.59
2022-11-21,Los Angeles Clippers,121,Utah Jazz,114,7,-0.89,0.95
2022-11-20,Phoenix Suns,116,New York Knicks,95,21,3.75,2.59
2022-11-20,Washington Wizards,106,Charlotte Hornets,102,4,-2.31,-6.74
2022-11-20,Sacramento Kings,137,Detroit Pistons,129,8,1.49,-6.57
2022-11-20,Brooklyn Nets,127,Memphis Grizzlies,115,12,3.35,4.2
2022-11-20,Cleveland Cavaliers,113,Miami Heat,87,26,5.46,-1.78
2022-11-20,Houston Rockets,120,Golden State Warriors,127,-7,-5.06,-0.6
2022-11-20,Dallas Mavericks,97,Denver Nuggets,98,-1,2.45,1.05
2022-11-20,Los Angeles Lakers,123,San Antonio Spurs,92,31,-2.49,-9.12
2022-11-19,Atlanta Hawks,124,Toronto Raptors,122,2,-0.43,1.11
2022-11-19,Philadelphia 76ers,109,Minnesota Timberwolves,112,-3,3.57,-1.43
2022-11-19,Portland Trailblazers,113,Utah Jazz,118,-5,0.08,0.95
